dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	75104ba2-5933-4e18-b660-5e78499547c9				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	34.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/585538	Mammalia	1837	1755			0.1	11131.95						1755	Happywhale - Blue whale in Arctic Ocean	2025-09-12	1757635200000	1757635200000	1757635200000	2025	12	65.87935	-18.175761																2025-09-12					Balaenopteridae	136979					POINT(-18.175761 65.87935)					Balaenoptera	137013	EPSG:4326							2025-09-12													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	9							WoRMS LSID		585538	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/585538"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										JUSTYNA TOKARSKA									Chordata			1821				1755_273643			EN			JUSTYNA TOKARSKA					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				2511.0	Balaenoptera musculus	137090	musculus	34.44	5.26			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2025-09-12 00:00:00				Northeast, Iceland				Blue whale			Greenland Sea		2025	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	e4e089f9-64a0-4980-a8a0-065b14d149d2				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	160.4			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/551853	Mammalia	1837	1755			0.1	11131.95						1755	Happywhale - Blue whale in Arctic Ocean	2025-05-28T15:00	1748390400000	1748390400000	1748390400000	2025	28	66.288838	-17.268594																2025-05-28T15:00			15:00		Balaenopteridae	136979					POINT(-17.268594 66.288838)					Balaenoptera	137013	EPSG:4326							2025-05-28T15:00													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	5							WoRMS LSID		551853	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/551853"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Emily Chen									Chordata			1821				1755_234749			EN			Emily Chen					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				6675.0	Balaenoptera musculus	137090	musculus	34.35	5.51			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2025-05-28 15:00:00				Northeast, Iceland				Blue whale			Greenland Sea		2025	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	12064154-d9b8-4cf0-a347-1137356fddeb				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	107.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/486683	Mammalia	1837	1755			1	111319.49						1755	Happywhale - Blue whale in Arctic Ocean	2024-08-11T15:08:28	1723334400000	1723334400000	1723334400000	2024	11	65.990487	-18.313522																2024-08-11T15:08:28			15:08:28		Balaenopteridae	136979					POINT(-18.313522 65.990487)					Balaenoptera	137013	EPSG:4326							2024-08-11T15:08:28													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	8							WoRMS LSID		486683	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/486683"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Gisela Solà Boloix									Chordata			1821				1755_255689			EN			Gisela Solà Boloix					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				1727.0	Balaenoptera musculus	137090	musculus	34.46	5.31			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2024-08-11 15:08:28				Northeast, Iceland				Blue whale			Greenland Sea		2024	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	ed3325c9-454b-4d8a-a615-ddb8c3e2cca5				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	107.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/486684	Mammalia	1837	1755			1	111319.49						1755	Happywhale - Blue whale in Arctic Ocean	2024-08-11T15:08:28	1723334400000	1723334400000	1723334400000	2024	11	65.990487	-18.313522																2024-08-11T15:08:28			15:08:28		Balaenopteridae	136979					POINT(-18.313522 65.990487)					Balaenoptera	137013	EPSG:4326							2024-08-11T15:08:28													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	8							WoRMS LSID		486684	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/486684"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Gisela Solà Boloix									Chordata			1821				1755_75090			EN			Gisela Solà Boloix					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				1727.0	Balaenoptera musculus	137090	musculus	34.46	5.31			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2024-08-11 15:08:28				Northeast, Iceland				Blue whale			Greenland Sea		2024	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	80c7948d-ea8a-4151-8c08-50fcb6e36b22				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	50.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/individual/25004;enc=66285	Mammalia	1837	1755			0.1	11131.95						1755	Happywhale - Blue whale in Arctic Ocean	2019-06-12T08:09:18	1560297600000	1560297600000	1560297600000	2019	12	66.134967	-17.808883																2019-06-12T08:09:18			08:09:18		Balaenopteridae	136979					POINT(-17.808883 66.134967)					Balaenoptera	137013	EPSG:4326							2019-06-12T08:09:18													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	6							WoRMS LSID		66285	"Photo identification; {""catalog_number"":""https://happywhale.com/individual/25004;enc=66285"",""organism_id"":""https://happywhale.com/individual/25004"",""organism_name"":""Blue-fin hybrid"",""occurrence_remarks"":""Possible blue/fin hybrid""}"	present	Cetartiodactyla	370511	https://happywhale.com/individual/25004				Probably a Blue-fin hybrid.					Jeff Reynolds									Chordata			1821				1755_12887			EN			Jeff Reynolds					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				2920.0	Balaenoptera musculus	137090	musculus	34.42	5.44			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2019-06-12 08:09:18				Northeast, Iceland				Blue whale			Greenland Sea		2019	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	8c987b9e-4f40-4488-9ae8-1f26de2768b3				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	193.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/19563	Mammalia	1837	1755			1	111319.49						1755	Happywhale - Blue whale in Arctic Ocean	2017-06-24T22:11	1498262400000	1498262400000	1498262400000	2017	24	66.1538	-17.5902																2017-06-24T22:11			22:11		Balaenopteridae	136979					POINT(-17.5902 66.1538)					Balaenoptera	137013	EPSG:4326							2017-06-24T22:11													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	6							WoRMS LSID		19563	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/19563"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""3 blue whales seen during day""}"	present	Cetartiodactyla	370511										Greta Henderson									Chordata			1821				1755_310309			EN			Greta Henderson					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				10685.0	Balaenoptera musculus	137090	musculus	34.4	5.42			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2017-06-24 22:11:00				Northeast, Iceland				Blue whale			Greenland Sea		2017	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	7b1681fb-30c6-4ce3-b0c4-be454d73bc57				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	63.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/482931	Mammalia	1837	1755			1e-05	1.11						1755	Happywhale - Blue whale in Arctic Ocean	2024-08-11T10:31:50	1723334400000	1723334400000	1723334400000	2024	11	65.771253	-18.110962																2024-08-11T10:31:50			10:31:50		Balaenopteridae	136979					POINT(-18.110962 65.771253)					Balaenoptera	137013	EPSG:4326							2024-08-11T10:31:50													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	8							WoRMS LSID		482931	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/482931"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""Two blue whales""}"	present	Cetartiodactyla	370511										Adam Goldwyn									Chordata			1821				1755_75237			EN			Adam Goldwyn					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				1158.0	Balaenoptera musculus	137090	musculus	34.44	5.27			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2024-08-11 10:31:50				Northeast, Iceland				Blue whale			Greenland Sea		2024	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	634a6bb6-7d75-4871-8986-ed97def1b5d1				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	127.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/364825	Mammalia	1837	1755			1	111319.49						1755	Happywhale - Blue whale in Arctic Ocean	2023-05-11T15:00	1683763200000	1683763200000	1683763200000	2023	11	66.058082	-17.561646																2023-05-11T15:00			15:00		Balaenopteridae	136979					POINT(-17.561646 66.058082)					Balaenoptera	137013	EPSG:4326							2023-05-11T15:00													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	5							WoRMS LSID		364825	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/364825"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Julian Vrohlings									Chordata			1821				1755_192096			EN			Julian Vrohlings					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				5820.0	Balaenoptera musculus	137090	musculus	34.39	5.41			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2023-05-11 15:00:00				Northeast, Iceland				Blue whale			Greenland Sea		2023	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	e167764b-2ba7-46ea-8d06-22275d4cfba8				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	156.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/367301	Mammalia	1837	1755			1	111319.49						1755	Happywhale - Blue whale in Arctic Ocean	2023-06-15T11:00	1686787200000	1686787200000	1686787200000	2023	15	66.081892	-17.551167																2023-06-15T11:00			11:00		Balaenopteridae	136979					POINT(-17.551167 66.081892)					Balaenoptera	137013	EPSG:4326							2023-06-15T11:00													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	6							WoRMS LSID		367301	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/367301"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""With UI Research vessel, saw one blue whale and one blue-fin hybrid together""}"	present	Cetartiodactyla	370511										Janne Kangaspunta									Chordata			1821				1755_286040			EN			Janne Kangaspunta					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				7749.0	Balaenoptera musculus	137090	musculus	34.39	5.41			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2023-06-15 11:00:00				Northeast, Iceland				Blue whale			Greenland Sea		2023	Balaenoptera musculus	[NO_DEPTH]	false	false
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d	c08e86aa-a991-49a6-92f4-6f2c8ef3cd7a				137090	[110, 40059, 32356]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	166.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/individual/25004;enc=526275	Mammalia	1837	1755			0.1	11131.95						1755	Happywhale - Blue whale in Arctic Ocean	2024-06-24T08:40:26	1719187200000	1719187200000	1719187200000	2024	24	66.119537	-17.526904																2024-06-24T08:40:26			08:40:26		Balaenopteridae	136979					POINT(-17.526904 66.119537)					Balaenoptera	137013	EPSG:4326							2024-06-24T08:40:26													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Northeast, Iceland					true							Tetrapoda	1831					2025-09-30 17:44:43	6							WoRMS LSID		526275	"Photo identification; {""catalog_number"":""https://happywhale.com/individual/25004;enc=526275"",""organism_id"":""https://happywhale.com/individual/25004"",""organism_name"":""Blue-fin hybrid"",""occurrence_remarks"":""Blue whale- Fin whale hybrid""}"	present	Cetartiodactyla	370511	https://happywhale.com/individual/25004				Probably a Blue-fin hybrid.					Vittoria Sesani									Chordata			1821				1755_100440			EN			Vittoria Sesani					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				6981.0	Balaenoptera musculus	137090	musculus	34.39	5.44			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2024-06-24 08:40:26				Northeast, Iceland				Blue whale			Greenland Sea		2024	Balaenoptera musculus	[NO_DEPTH]	false	false
