dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
070296e8-3191-468e-a85a-4b3e7f608204	03538600-c70f-4f30-b785-ffc58b54b2f3				137121	[194, 195, 31912]							HumanObservation	1184.5						c23f7738-7f6c-4d04-916b-9fef23ea6260	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1217980800000	1217980800000	1217980800000	2008	6	37.65253333	-25.27516667		0.0														2008-08-06T10:55:00	FUT_SM0818_cruise0162:encounter00494		10:55:00		Ziphiidae	136986			EPSG:4326		POINT(-25.2751666666667 37.6525333333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									c23f7738-7f6c-4d04-916b-9fef23ea6260		present	Cetartiodactyla	370511			6	individuals							FUT_SM0818_cruise0162								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				8884.0	Mesoplodon bidens	137121		36.24	19.15		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2008	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	05e02546-8ed3-44ea-9c58-4d1fb513a3aa				137121	[194, 195, 31912]							HumanObservation	1243.0						f386396d-5318-4c54-9949-7c0d3130a7eb	Mammalia	1837	SaoMiguel_0818				403.3338369	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1439856000000	1439856000000	1439856000000	2015	18	37.59414167	-25.36226667		0.0														2015-08-18T10:36:00/2015-08-18T10:54:00	FUT_SM0818_cruise2738:encounter09531		10:36:00/10:54:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.35905 37.5960333333333, -25.3654833333333 37.59225)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								juvenile							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									f386396d-5318-4c54-9949-7c0d3130a7eb		present	Cetartiodactyla	370511			1	individuals															Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				13269.0	Mesoplodon bidens	137121		36.24	19.17		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2015	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	1d698634-8c2d-4b0d-beda-22b897a7c838				137121	[194, 195, 31912]							HumanObservation	834.0						a1b4b001-f3cb-4ccb-b61d-04cc3bde9523	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1249603200000	1249603200000	1249603200000	2009	7	37.62458333	-25.67428333		0.0														2009-08-07T11:20:00	FUT_SM0818_cruise0543:encounter01731		11:20:00		Ziphiidae	136986			EPSG:4326		POINT(-25.6742833333333 37.6245833333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									a1b4b001-f3cb-4ccb-b61d-04cc3bde9523		present	Cetartiodactyla	370511			3	individuals															Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				12044.0	Mesoplodon bidens	137121		36.25	19.14		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2009	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	1f180b98-b439-4c48-a7e9-d0e075174fc2				137121	[194, 195, 31912]							HumanObservation	1262.0						cfb86081-d738-46ad-8df1-cbde450b1f89	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1505606400000	1505606400000	1505606400000	2017	17	37.59108333	-25.35755		0.0														2017-09-17	FUT_SM0818_cruise3677:encounter12585				Ziphiidae	136986			EPSG:4326		POINT(-25.35755 37.5910833333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	9									cfb86081-d738-46ad-8df1-cbde450b1f89		present	Cetartiodactyla	370511																			Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				13641.0	Mesoplodon bidens	137121		36.24	19.17		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2017	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	25ed55ba-8350-4672-91dd-58dcb336ed14				137121	[194, 195, 31912]							HumanObservation	1110.0						be4d351d-0bd3-42fd-9a1d-e5a4df9fbd93	Mammalia	1837	SaoMiguel_0818				356.264229	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1439856000000	1439856000000	1439856000000	2015	18	37.62560833	-25.37995833		0.0														2015-08-18T16:41:00/2015-08-18T16:51:00	FUT_SM0818_cruise2739:encounter09542		16:41:00/16:51:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.3834166666667 37.62535, -25.3765 37.6258666666667)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									be4d351d-0bd3-42fd-9a1d-e5a4df9fbd93		present	Cetartiodactyla	370511			5	individuals							FUT_SM0818_cruise2739								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				9767.0	Mesoplodon bidens	137121		36.24	19.17		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2015	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	299024c9-2f39-4176-b90b-3978dfb91354				137121	[194, 195, 31912]							HumanObservation	625.0						79938c63-de59-458d-ba87-e7fded64e1ba	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1249689600000	1249689600000	1249689600000	2009	8	37.63149	-25.62771		0.0														2009-08-08T15:25:00/2009-08-08T15:35:00	FUT_SM0818_cruise0546:encounter01744		15:25:00/15:35:00		Ziphiidae	136986			EPSG:4326		POINT(-25.62771 37.63149)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								juvenile							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									79938c63-de59-458d-ba87-e7fded64e1ba		present	Cetartiodactyla	370511			2	individuals															Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				11829.0	Mesoplodon bidens	137121		36.25	19.13		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2009	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	2999d4cb-8cc3-4a04-b3d4-ea64baa28c46				137121	[194, 195, 31912]							HumanObservation	1063.0						8f3c999b-3409-417f-bde5-59be14115f27	Mammalia	1837	SaoMiguel_0818				567.6174401	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1501286400000	1501286400000	1501286400000	2017	29	37.62845	-25.40061667		0.0														2017-07-29T15:21:00/2017-07-29T15:29:00	FUT_SM0818_cruise3580:encounter12260		15:21:00/15:29:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.4013166666667 37.6330666666667, -25.3999166666667 37.6238333333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	7									8f3c999b-3409-417f-bde5-59be14115f27		present	Cetartiodactyla	370511			1	individuals							FUT_SM0818_cruise3580								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				9201.0	Mesoplodon bidens	137121		36.24	19.17		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2017	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	2b6f39b2-2b50-4b0f-b11a-641b35e43773				137121	[194, 195, 31912]							HumanObservation	1319.5						38d2dbf1-d498-43ee-8e72-b9e9bb135d7e	Mammalia	1837	SaoMiguel_0818				50.09504165	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1249689600000	1249689600000	1249689600000	2009	8	37.52446	-25.6098		0.0														2009-08-08T14:40:00/2009-08-08T15:10:00	FUT_SM0818_cruise0546:encounter01743		14:40:00/15:10:00		Ziphiidae	136986			EPSG:4326		POINT(-25.6098 37.52446)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								juvenile							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									38d2dbf1-d498-43ee-8e72-b9e9bb135d7e		present	Cetartiodactyla	370511			2	individuals							FUT_SM0818_cruise0546								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				22073.0	Mesoplodon bidens	137121		36.26	19.18		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2009	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	30ba8429-db27-4a2c-96f3-9e4cfd6fe406				137121	[194, 195, 31912]							HumanObservation	540.0						e08bb4cc-ff2a-41d1-a313-4bdd109b3cd5	Mammalia	1837	SaoMiguel_0818				1821.016833	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1534982400000	1534982400000	1534982400000	2018	23	37.689175	-25.777625		0.0														2018-08-23T10:26:00/2018-08-23T10:51:00	FUT_SM0818_cruise4096:encounter13884		10:26:00/10:51:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.7612166666667 37.6799833333333, -25.7940333333333 37.6983666666667)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								calf							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									e08bb4cc-ff2a-41d1-a313-4bdd109b3cd5		present	Cetartiodactyla	370511			2	individuals							FUT_SM0818_cruise4096								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				8354.0	Mesoplodon bidens	137121		36.24	19.09		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2018	Mesoplodon bidens	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	41e66008-55f3-492c-81b6-3669763722a4				137121	[194, 195, 31912]							HumanObservation	1074.0						c3b97946-377c-4789-8693-71a4c4d34151	Mammalia	1837	SaoMiguel_0818				422.3077949	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1533081600000	1533081600000	1533081600000	2018	1	37.78331667	-25.91381667		0.0														2018-08-01T10:54:00/2018-08-01T11:01:00	FUT_SM0818_cruise4052:encounter13753		10:54:00/11:01:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.91765 37.7819, -25.9099833333333 37.7847333333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									c3b97946-377c-4789-8693-71a4c4d34151		present	Cetartiodactyla	370511			9	individuals							FUT_SM0818_cruise4052								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon bidens	(Sowerby, 1804)	urn:lsid:marinespecies.org:taxname:137121				8126.0	Mesoplodon bidens	137121		36.23	18.99		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mb										Atlantic Ocean		2018	Mesoplodon bidens	[]	false	false
