dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
070296e8-3191-468e-a85a-4b3e7f608204	80817a32-8890-4651-8b4e-b84ad6dce9b5				137122	[194, 195, 31912]							HumanObservation	808.5						e0d34ba5-4503-4f63-93e7-afb46f4ae046	Mammalia	1837	SaoMiguel_0818				385.7302715	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1425513600000	1425513600000	1425513600000	2015	5	37.59353383	-25.54336811		0.0														2015-03-05T14:40:00/2015-03-05T15:03:00	FUT_SM0818_cruise2508:encounter08627		14:40:00/15:03:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.5433333333333 37.5957666666667, -25.5407166666667 37.5926166666667, -25.54675 37.59215, -25.5401166666667 37.5928)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								adult							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	3									e0d34ba5-4503-4f63-93e7-afb46f4ae046		present	Cetartiodactyla	370511			3	individuals							FUT_SM0818_cruise2508								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				12899.0	Mesoplodon densirostris	137122		36.25	19.14		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2015	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	8dbeef1f-791e-4106-9fdd-eedcaad74176				137122	[194, 195, 31912]							HumanObservation	1416.5						cc5f7652-0841-43a4-9fc2-97d9e8344ad8	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1476316800000	1476316800000	1476316800000	2016	13	37.77408333	-25.98306667		0.0														2016-10-13T15:13:00/2016-10-13T15:30:00	FUT_SM0818_cruise3247:encounter11212		15:13:00/15:30:00		Ziphiidae	136986			EPSG:4326		POINT(-25.9830666666667 37.7740833333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								adult							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	10									cc5f7652-0841-43a4-9fc2-97d9e8344ad8		present	Cetartiodactyla	370511			1	individuals							FUT_SM0818_cruise3247								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				13873.0	Mesoplodon densirostris	137122		36.24	19.01		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2016	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	98f550f5-7dea-4d8d-b2bb-486d8d17a4a7				137122	[194, 195, 31912]							HumanObservation	1147.0						268332e4-e627-4966-8a8e-9fa6e0ae58f0	Mammalia	1837	SaoMiguel_0818				503.5314527	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1412467200000	1412467200000	1412467200000	2014	5	37.61470833	-25.38925833		0.0														2014-10-05T10:36:00/2014-10-05T10:51:00	FUT_SM0818_cruise2438:encounter08371		10:36:00/10:51:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.3928166666667 37.6117666666667, -25.3857 37.61765)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	10									268332e4-e627-4966-8a8e-9fa6e0ae58f0		present	Cetartiodactyla	370511			2	individuals							FUT_SM0818_cruise2438								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				11008.0	Mesoplodon densirostris	137122		36.24	19.17		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2014	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	9fd072a2-58a7-48df-85f0-37e1871d7c60				137122	[194, 195, 31912]							HumanObservation	1416.5						7e3dcd42-9f80-48d3-9c47-e6971f607066	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1476316800000	1476316800000	1476316800000	2016	13	37.77408333	-25.98306667		0.0														2016-10-13T15:13:00/2016-10-13T15:30:00	FUT_SM0818_cruise3247:encounter11212		15:13:00/15:30:00		Ziphiidae	136986			EPSG:4326		POINT(-25.9830666666667 37.7740833333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	10									7e3dcd42-9f80-48d3-9c47-e6971f607066		present	Cetartiodactyla	370511			1	individuals							FUT_SM0818_cruise3247								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				13873.0	Mesoplodon densirostris	137122		36.24	19.01		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2016	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	a4eded45-a3a3-4d7b-80e9-c6e78937c3f7				137122	[194, 195, 31912]							HumanObservation	1191.0						ca777fb8-0ffe-4f7a-a1c9-2099fdc21c12	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1344038400000	1344038400000	1344038400000	2012	4	37.53628333	-25.52228333		0.0														2012-08-04T11:38:00/2012-08-04T11:55:00	FUT_SM0818_cruise1565:encounter05050		11:38:00/11:55:00		Ziphiidae	136986			EPSG:4326		POINT(-25.5222833333333 37.5362833333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								adult							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									ca777fb8-0ffe-4f7a-a1c9-2099fdc21c12		present	Cetartiodactyla	370511			5	individuals							FUT_SM0818_cruise1565								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				18951.0	Mesoplodon densirostris	137122		36.26	19.19		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2012	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	ab4b1663-8bf6-4f03-845e-d58d4cb1871d				137122	[194, 195, 31912]							HumanObservation	754.0						81b533da-176b-4ac7-8628-c596c31cc8c8	Mammalia	1837	SaoMiguel_0818				453.8319493	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1535846400000	1535846400000	1535846400000	2018	2	37.61703333	-25.62984167		0.0														2018-09-02T14:37:00/2018-09-02T14:45:00	FUT_SM0818_cruise4117:encounter13958		14:37:00/14:45:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.6318333333333 37.6203, -25.62785 37.6137666666667)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								adult							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	9									81b533da-176b-4ac7-8628-c596c31cc8c8		present	Cetartiodactyla	370511			2	individuals							FUT_SM0818_cruise4117								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				13340.0	Mesoplodon densirostris	137122		36.25	19.13		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2018	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	bc819a5d-ae28-458f-a331-8b1c862e1ffc				137122	[194, 195, 31912]							HumanObservation	795.0						084b0990-2ead-4982-88c7-0eee7845b104	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1534204800000	1534204800000	1534204800000	2018	14	37.59791667	-25.5118		0.0														2018-08-14T11:24:00	FUT_SM0818_cruise4078:encounter13834		11:24:00		Ziphiidae	136986			EPSG:4326		POINT(-25.5118 37.5979166666667)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	8									084b0990-2ead-4982-88c7-0eee7845b104		present	Cetartiodactyla	370511			5	individuals															Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				12067.0	Mesoplodon densirostris	137122		36.25	19.14		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2018	Mesoplodon densirostris	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	df3f4d77-e034-448d-a83f-a8dc84d70aec				137122	[194, 195, 31912]							HumanObservation	838.5						c7d0dd67-d8fd-48ef-871e-d29a5072f255	Mammalia	1837	SaoMiguel_0818				266.1765678	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1473811200000	1473811200000	1473811200000	2016	14	37.618275	-25.70969167		0.0														2016-09-14T11:06:00/2016-09-14T11:31:00	FUT_SM0818_cruise3202:encounter11078		11:06:00/11:31:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.70965 37.6202166666667, -25.7097333333333 37.6163333333333)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	9									c7d0dd67-d8fd-48ef-871e-d29a5072f255		present	Cetartiodactyla	370511			2	individuals							FUT_SM0818_cruise3202								Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon densirostris	(de Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				12892.0	Mesoplodon densirostris	137122		36.25	19.14		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Md										Atlantic Ocean		2016	Mesoplodon densirostris	[]	false	false
09be818d-531c-4d86-8eba-5db81d42fdba	6507e491-356c-4f78-87af-c08d2b0f4e38				137122	[194, 195, 31912]							Occurrence	81.5						COLETA_224	Mammalia	1837	COLETA		Azores Exclusive Economic Zone			Portugal					https://marineinfo.org/id/dataset/4493			1046563200000	1046563200000	1046563200000	2003	2	38.38	-28.25																2003-03-02					Ziphiidae	136986										Mesoplodon	137034																							Rui Prieto									Cetacea	2688	Gnathostomata	1828		IMAR/DOP				Animalia	2															true							Tetrapoda	1831					2015-04-08 12:13:53	3									COLETA_224	collected specimen	present	Cetartiodactyla	370511																			Chordata			1821				224	COLETA team									Stranding	Mesoplodon densirostris		urn:lsid:marinespecies.org:taxname:137122				640.0	Mesoplodon densirostris	137122		36.2	19.01			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2003	Mesoplodon densirostris	[NO_DEPTH]	false	false
211c1939-18bd-4ed4-b6fb-9c73394eb4bd	c4e28fe8-56ec-46df-9e6b-23c563e6fe18				137122	[194, 195, 31912]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	833.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2025"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/588659	Mammalia	1837	1953			1	111319.49						1953	Happywhale - Blainville's beaked whale in North Atlantic Ocean	2025-06-07T11:31:04	1749254400000	1749254400000	1749254400000	2025	7	38.381969	-28.075037																2025-06-07T11:31:04			11:31:04		Ziphiidae	136986					POINT(-28.075037 38.381969)					Mesoplodon	137034	EPSG:4326							2025-06-07T11:31:04													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Azores, Portugal					true							Tetrapoda	1831					2025-09-30 17:44:43	6							WoRMS LSID		588659	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/588659"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""Picture by Inês Filipa Gonçalves""}"	present	Cetartiodactyla	370511										Espaço Talassa									Chordata			1821				1953_93685						Espaço Talassa					Mesoplodon densirostris	(Blainville, 1817)	urn:lsid:marinespecies.org:taxname:137122				2040.0	Mesoplodon densirostris	137122	densirostris	36.19	18.97			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723							Species	"Taxon recorded as ""Blainville's Beaked Whale"" by the provider"	valid			Event									2025-06-07 11:31:04				Azores, Portugal				Blainville's beaked whale			North Atlantic Ocean		2025	Mesoplodon densirostris	[NO_DEPTH]	false	false
