dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
22940bb9-80b7-431b-a3c3-2b937714ddf1	4494449e-630d-4e14-b6ef-abf0c9f14228				137123	[194, 195, 31912]							HumanObservation	1490.5						POPA_MM_14399	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		1000.0	Portugal					https://marineinfo.org/id/dataset/4677			1120780800000	1120780800000	1120780800000	2005	8	38.96666667	-27.0																2005-07-08/2005-07-08					Ziphiidae	136986		1273								Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_14399		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				21580.0	Mesoplodon europaeus	137123		36.15	18.53		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2005	Mesoplodon europaeus	[NO_DEPTH]	false	false
3f871238-07df-4757-a790-aeb866ba9eed	14d0f9f8-9fb6-47ff-a8cc-c6922ef74f59				137123	[194, 196, 40027, 31912]							HumanObservation	3300.8						CIIMAR-CETUS-7991	Mammalia	1837	CETUS: Cetacean monitoring surveys in the Eastern North Atlantic				50.0						https://marineinfo.org/id/dataset/6202	CETUS: Cetacean monitoring surveys in the Eastern North Atlantic		1473638400000	1473638400000	1473638400000	2016	12	30.86872	-14.46124																2016-09-12	Canaries-NWAfrica-CapeVerde:Cruise-066:Transect-15:Pos-7519-CO	position			Ziphiidae	136986		5216188	EPSG:4326		LINESTRING (-14.34653 31.20181, -14.46124 30.86872)					Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828						Animalia	2															true							Tetrapoda	1831					2022-05-09 15:29:06	9									CIIMAR-CETUS-7991		present	Cetartiodactyla	370511											Canaries-NWAfrica-CapeVerde:Cruise-066:Transect-15								Chordata			1821					"#035 | #036"								44.92 km	Visual observation from vessel	Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				155723.0	Mesoplodon europaeus	137123		36.72	20.59			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																Atlantic Ocean		2016	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	1a79afbc-3097-4237-bada-b7a94842d11a				137123	[194, 195, 31912]							HumanObservation	1252.0						POPA_MM_19353	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		1000.0	Portugal					https://marineinfo.org/id/dataset/4677			1027900800000	1027900800000	1027900800000	2002	29	39.18333333	-28.08333333																2002-07-29/2002-07-29					Ziphiidae	136986		830								Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_19353		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				10054.0	Mesoplodon europaeus	137123		36.16	18.62		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2002	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	c2566cb2-9759-42f6-b22d-b5f35f179da4				137123	[194, 195, 31912]							HumanObservation	2318.5						POPA_MM_19354	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		1000.0	Portugal					https://marineinfo.org/id/dataset/4677			1027900800000	1027900800000	1027900800000	2002	29	38.85	-27.63333333																2002-07-29/2002-07-29					Ziphiidae	136986		830								Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_19354		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				24003.0	Mesoplodon europaeus	137123		36.17	18.63		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2002	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	0e713944-7b4f-4260-8fdf-e348cd11d191				137123	[194, 195, 31912]							HumanObservation	1208.0						POPA_MM_24431	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		10.0	Portugal					https://marineinfo.org/id/dataset/4677			1371600000000	1371600000000	1371600000000	2013	19	38.24973333	-30.35691667																2013-06-19/2013-06-19					Ziphiidae	136986										Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	6									POPA_MM_24431		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				138176.0	Mesoplodon europaeus	137123		36.25	19.3		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	ffff782c-0ca7-4842-9e61-151e2127756d				137123	[194, 195, 31912]							HumanObservation	1495.0						POPA_MM_24437	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		10.0	Portugal					https://marineinfo.org/id/dataset/4677			1371772800000	1371772800000	1371772800000	2013	21	37.70778333	-30.61266667																2013-06-21/2013-06-21					Ziphiidae	136986										Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	6									POPA_MM_24437		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				184310.0	Mesoplodon europaeus	137123		36.28	19.59		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	88069ee7-5d3c-4ca7-a63a-280ccb37439e				137123	[194, 195, 31912]							HumanObservation	1516.0						POPA_MM_24473	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		10.0	Portugal					https://marineinfo.org/id/dataset/4677			1372982400000	1372982400000	1372982400000	2013	5	38.30878333	-28.34686667																2013-07-05/2013-07-05					Ziphiidae	136986										Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_24473		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				11588.0	Mesoplodon europaeus	137123		36.21	19.08		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	7c12ceaf-9818-48b8-b9dc-3ca697ea06f0				137123	[194, 195, 31912]							HumanObservation	2441.5						POPA_MM_24497	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		10.0	Portugal					https://marineinfo.org/id/dataset/4677			1373673600000	1373673600000	1373673600000	2013	13	37.33041667	-27.83676667																2013-07-13/2013-07-13					Ziphiidae	136986										Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_24497		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				120815.0	Mesoplodon europaeus	137123		36.29	19.66		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	e8aa3b12-6b0c-4787-b1ac-cc920f977a3d				137123	[194, 195, 31912]							HumanObservation	1700.0						POPA_MM_24510	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		10.0	Portugal					https://marineinfo.org/id/dataset/4677			1374192000000	1374192000000	1374192000000	2013	19	38.3234	-30.23508333																2013-07-19/2013-07-19					Ziphiidae	136986										Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_24510		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				125722.0	Mesoplodon europaeus	137123		36.24	19.23		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon europaeus	[NO_DEPTH]	false	false
22940bb9-80b7-431b-a3c3-2b937714ddf1	03313836-6e87-48de-9405-3812aedcf913				137123	[194, 195, 31912]							HumanObservation	1606.5						POPA_MM_24527	Mammalia	1837	POPA_MARINE_MAMMALS		Azores (several wb)		10.0	Portugal					https://marineinfo.org/id/dataset/4677			1374710400000	1374710400000	1374710400000	2013	25	38.9717	-28.92123333																2013-07-25/2013-07-25					Ziphiidae	136986										Mesoplodon	137034																																Cetacea	2688	Gnathostomata	1828		POPA/IMAR				Animalia	2															true							Tetrapoda	1831					2016-06-10 16:50:25	7									POPA_MM_24527		present	Cetartiodactyla	370511																			Chordata			1821					popa observers										Mesoplodon europaeus		urn:lsid:marinespecies.org:taxname:137123				40563.0	Mesoplodon europaeus	137123		36.19	18.85		Azores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon europaeus	[NO_DEPTH]	false	false
