dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
070296e8-3191-468e-a85a-4b3e7f608204	e49ebc22-238a-4973-af78-21901e4bcc7d				137126	[194, 195, 31912]							HumanObservation	958.5				false		2823ec20-6f3b-409e-993b-2d0480c64a37	Mammalia	1837	SaoMiguel_0818				50.0	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1236297600000	1236297600000	1236297600000	2009	6	37.57451667	-25.69161667		0.0														2009-03-06T11:05:00/2009-03-06T11:15:00	FUT_SM0818_cruise0374:encounter01170		11:05:00/11:15:00		Ziphiidae	136986			EPSG:4326		POINT(-25.6916166666667 37.5745166666667)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2															true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	3									2823ec20-6f3b-409e-993b-2d0480c64a37		present	Cetartiodactyla	370511			2	individuals															Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				17593.0	Mesoplodon mirus	137126		36.26	19.19		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mm										Atlantic Ocean		2009	Mesoplodon mirus	[]	false	false
070296e8-3191-468e-a85a-4b3e7f608204	f5d9a16e-5f14-4122-b7fc-75be2b556b71				137126	[194, 195, 31912]							HumanObservation	341.5				false		16fd8338-1265-4875-899a-ddc5c7f9906b	Mammalia	1837	SaoMiguel_0818				1926.731823	Portugal					https://marineinfo.org/id/dataset/8804	Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)		1432252800000	1432252800000	1432252800000	2015	22	37.64019444	-25.53156667		0.0														2015-05-22T15:17:00/2015-05-22T15:35:00	FUT_SM0818_cruise2587:encounter08892		15:17:00/15:35:00		Ziphiidae	136986			EPSG:4326		LINESTRING(-25.5415 37.6252833333333, -25.5296166666667 37.65165, -25.5235833333333 37.64365)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828		Futurismo				Animalia	2								adult							true				0.0			Tetrapoda	1831		0.0			2025-05-13 16:20:21	5									16fd8338-1265-4875-899a-ddc5c7f9906b		present	Cetartiodactyla	370511			1	individuals															Chordata			1821					Futurismo Azores Adventures									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				7613.0	Mesoplodon mirus	137126		36.25	19.14		Região Autónoma dos Açores	Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																						Mm										Atlantic Ocean		2015	Mesoplodon mirus	[]	false	false
553e813b-993b-46f4-b42e-d3a5bf064572	657bbfc5-06e9-4472-8798-1dc8929f3d2f				137126	[70, 86, 40025, 32359]				"[{""crossref"":{""citeinfo"":{""origin"":""Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach"",""pubdate"":""2009"",""title"":""OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions"",""onlink"":""http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"",""serinfo"":{""sername"":""Oceanography"",""issue"":""22(2):104-115""}}}}]"			HumanObservation	-5.0			"[{""crossref"":{""citeinfo"":{""origin"":""Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach"",""pubdate"":""2009"",""title"":""OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions"",""onlink"":""http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"",""serinfo"":{""sername"":""Oceanography"",""issue"":""22(2):104-115""}}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"	false		1406_36933	Mammalia	1837	1406			1e-05	1.11						1406	Observatoire Pelagis - Reseau National Echouage (French stranding network) strandings 1934-2020	2022-08-23	1661212800000	1661212800000	1661212800000	2022	23	43.56603	-1.49677																2022-08-23					Ziphiidae	136986					POINT(-1.49677 43.56603)					Mesoplodon	137034	EPSG:4326							2022-08-23													Identification Type:Visual sighting											Cetacea	2688	Gnathostomata	1828		PELAGIS				Animalia	2							http://creativecommons.org/licenses/by-nc/4.0/								true							Tetrapoda	1831					2024-01-18 14:44:43	8							WoRMS LSID		1406_36933	Visual; shore	present	Cetartiodactyla	370511										PELAGIS									Chordata			1821				1406_36933						PELAGIS					Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				6.0	Mesoplodon mirus	137126	mirus					Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723							Species	"Taxon recorded as ""Mesoplodon mirus"" by the provider"	valid			Event									2022-08-23 00:00:00								True's beaked whale			Global,French EEZ		2022	Mesoplodon mirus	[NO_DEPTH]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	067ce56e-5a4d-4c33-b059-f17d76645bcb				137126	[194, 195, 31912]							HumanObservation	730.0				false		UAc_MONICET_cruise2033:encounter06272_Mm_137126	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1369353600000	1369353600000	1369353600000	2013	24	38.4257	-28.5391		0.0														2013-05-24T12:55:00	UAc_MONICET_cruise2033:encounter06272	sample	12:55:00		Ziphiidae	136986			EPSG:4326		POINT (-28.5391 38.4257)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	5									UAc_MONICET_cruise2033:encounter06272_Mm_137126		present	Cetartiodactyla	370511											UAc_MONICET_cruise2033								Chordata			1821					Horta_Cetaceos									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				3506.0	Mesoplodon mirus	137126		36.21	19.02			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon mirus	[]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	3f5a28f5-d718-44bd-b1a7-6c67effe88fd				137126	[194, 195, 31912]							HumanObservation	730.0				false		UAc_MONICET_cruise2033:encounter06272_Mm_137126_adult	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1369353600000	1369353600000	1369353600000	2013	24	38.4257	-28.5391		0.0														2013-05-24T12:55:00	UAc_MONICET_cruise2033:encounter06272	sample	12:55:00		Ziphiidae	136986			EPSG:4326		POINT (-28.5391 38.4257)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	5									UAc_MONICET_cruise2033:encounter06272_Mm_137126_adult		present	Cetartiodactyla	370511											UAc_MONICET_cruise2033								Chordata			1821					Horta_Cetaceos									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				3506.0	Mesoplodon mirus	137126		36.21	19.02			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon mirus	[]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	c11e5d0e-6412-4b97-a158-111dd357e194				137126	[194, 195, 31912]							HumanObservation	1297.5				false		UAc_MONICET_cruise2167:encounter06884_Mm_137126	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1374364800000	1374364800000	1374364800000	2013	21	37.6209	-25.3096		0.0														2013-07-21T13:52:00	UAc_MONICET_cruise2167:encounter06884	sample	13:52:00		Ziphiidae	136986			EPSG:4326		POINT (-25.3096 37.6209)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	7									UAc_MONICET_cruise2167:encounter06884_Mm_137126		present	Cetartiodactyla	370511											UAc_MONICET_cruise2167								Chordata			1821					Terra_Azul									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				11517.0	Mesoplodon mirus	137126		36.24	19.15			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon mirus	[]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	888bba68-8f39-4503-831b-c99e3420183a				137126	[194, 195, 31912]							HumanObservation	1297.5				false		UAc_MONICET_cruise2167:encounter06884_Mm_137126_adult	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1374364800000	1374364800000	1374364800000	2013	21	37.6209	-25.3096		0.0														2013-07-21T13:52:00	UAc_MONICET_cruise2167:encounter06884	sample	13:52:00		Ziphiidae	136986			EPSG:4326		POINT (-25.3096 37.6209)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	7									UAc_MONICET_cruise2167:encounter06884_Mm_137126_adult		present	Cetartiodactyla	370511											UAc_MONICET_cruise2167								Chordata			1821					Terra_Azul									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				11517.0	Mesoplodon mirus	137126		36.24	19.15			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2013	Mesoplodon mirus	[]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	bd2627f2-2185-4cd9-8e87-3afc9ce963a0				137126	[194, 195, 31912]							HumanObservation	1512.5				false		UAc_MONICET_cruise6366:encounter22675_Mm_137126	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1529971200000	1529971200000	1529971200000	2018	26	38.308	-28.3481		0.0														2018-06-26T11:13:00	UAc_MONICET_cruise6366:encounter22675	sample	11:13:00		Ziphiidae	136986			EPSG:4326		POINT (-28.3481 38.308)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	6									UAc_MONICET_cruise6366:encounter22675_Mm_137126		present	Cetartiodactyla	370511											UAc_MONICET_cruise6366								Chordata			1821					AquaAçores									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				11680.0	Mesoplodon mirus	137126		36.21	19.08			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2018	Mesoplodon mirus	[]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	b52367ef-cd70-4272-a492-717a76f6f311				137126	[194, 195, 31912]							HumanObservation	1512.5				false		UAc_MONICET_cruise6366:encounter22675_Mm_137126_adult	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1529971200000	1529971200000	1529971200000	2018	26	38.308	-28.3481		0.0														2018-06-26T11:13:00	UAc_MONICET_cruise6366:encounter22675	sample	11:13:00		Ziphiidae	136986			EPSG:4326		POINT (-28.3481 38.308)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	6									UAc_MONICET_cruise6366:encounter22675_Mm_137126_adult		present	Cetartiodactyla	370511											UAc_MONICET_cruise6366								Chordata			1821					AquaAçores									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				11680.0	Mesoplodon mirus	137126		36.21	19.08			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2018	Mesoplodon mirus	[]	false	false
6808176f-ffe5-4f24-a7ec-b3fb4b630a28	9fc22771-f941-41b0-8300-f7c0282b8b58				137126	[194, 195, 31912]							HumanObservation	1317.5				false		UAc_MONICET_cruise8199:encounter28415_Mm_137126_adult	Mammalia	1837	MONICET										https://marineinfo.org/id/dataset/7948	MONICET		1584403200000	1584403200000	1584403200000	2020	17	37.6076	-25.3229		0.0														2020-03-17T09:30:00	UAc_MONICET_cruise8199:encounter28415	sample	09:30:00		Ziphiidae	136986			EPSG:4326		POINT (-25.3229 37.6076)					Mesoplodon	137034	EPSG:4326																															Cetacea	2688	Gnathostomata	1828						Animalia	2															true				0.0			Tetrapoda	1831		0.0			2023-04-05 17:28:04	3									UAc_MONICET_cruise8199:encounter28415_Mm_137126_adult		present	Cetartiodactyla	370511											UAc_MONICET_cruise8199								Chordata			1821					Terra_Azul									visual observation from whale watching boat	Mesoplodon mirus	True, 1913	urn:lsid:marinespecies.org:taxname:137126				12437.0	Mesoplodon mirus	137126		36.24	19.15			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2020	Mesoplodon mirus	[]	false	false
