dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
553e813b-993b-46f4-b42e-d3a5bf064572	a04a943a-84d5-4b76-9488-558021b6d815				137077	[70, 86, 40024, 32389]				"[{""crossref"":{""citeinfo"":{""origin"":""Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach"",""pubdate"":""2009"",""title"":""OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions"",""onlink"":""http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"",""serinfo"":{""sername"":""Oceanography"",""issue"":""22(2):104-115""}}}}]"			HumanObservation	-5.0			"[{""crossref"":{""citeinfo"":{""origin"":""Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach"",""pubdate"":""2009"",""title"":""OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions"",""onlink"":""http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"",""serinfo"":{""sername"":""Oceanography"",""issue"":""22(2):104-115""}}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			1406_36935	Mammalia	1837	1406			1e-05	1.11						1406	Observatoire Pelagis - Reseau National Echouage (French stranding network) strandings 1934-2020	2022-11-18	1668729600000	1668729600000	1668729600000	2022	18	49.9323	1.0826																2022-11-18					Odobenidae	136975					POINT(1.0826 49.9323)					Odobenus	137005	EPSG:4326							2022-11-18													Identification Type:Visual sighting											Pinnipedia	148736	Gnathostomata	1828		PELAGIS				Animalia	2							http://creativecommons.org/licenses/by-nc/4.0/								true							Tetrapoda	1831					2024-01-18 14:44:43	11							WoRMS LSID		1406_36935	Visual; shore	present	Carnivora	2687										PELAGIS									Chordata			1821				1406_36935			VU			PELAGIS					Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				-70.0	Odobenus rosmarus	137077	rosmarus	34.03	12.82			Theria	380416											Caniformia	254957	Vertebrata			146419																							Species	"Taxon recorded as ""Odobenus rosmarus"" by the provider"	valid			Event									2022-11-18 00:00:00								Walrus			Global,French EEZ		2022	Odobenus rosmarus	[NO_DEPTH, ON_LAND]	false	false
bdf60768-eed9-4ef1-9eb8-7eccaf36330b	e83fee55-0280-4f7b-96ca-c6aa524d9ab5				137077	[118]	https://records.biodiversityireland.ie/storage/record-images/odobenus_rosmarus_7ad2856b34d7b848092217da6fcd9f49.jpg						HumanObservation	-17.0						8149ff6e-92f9-11ec-912d-e454e8915339	Mammalia	1837	Explore Your Shore				100.0			Cork			https://marineinfo.org/id/dataset/8046	Explore Your Shore		1629331200000	1629331200000	1629331200000	2021	19	51.4682329	-9.7270558																2021-08-19	EYS_51.4682329_-9.7270558_2021-08-19_1				Odobenidae	136975			EPSG:4326							Odobenus	137005	WGS84																															Pinnipedia	148736	Gnathostomata	1828						Animalia	2										crookhaven harbour		V800253			true							Tetrapoda	1831					2023-04-05 17:28:04	8									EYS_51.4682329_-9.7270558_2021-08-19-8149ff6e-92f9-11ec-912d-e454e8915339		present	Carnivora	2687																			Chordata			1821				861490			VU								Odobenus rosmarus		urn:lsid:marinespecies.org:taxname:137077				-15.0	Odobenus rosmarus	137077		34.99	12.13			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2021	Odobenus rosmarus	[NO_DEPTH, ON_LAND]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	deb1e1a9-716d-466a-b759-c67ebe1b9ae5				137077	[179, 180, 40022, 32379]							HumanObservation	18.0						IMR-Mammal2003702	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1068076800000	1068076800000	1068076800000	2003	6	58.55	9.0																2003-11-06	IMR-Mammal2003702				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	11									IMR-Mammal2003702		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				31.0	Odobenus rosmarus	137077		29.11	10.37			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2003	Odobenus rosmarus	[NO_DEPTH]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	0d267eaa-869b-4f55-95e0-1aadb0b641da				137077	[179, 180, 40021]							HumanObservation	-1.0						IMR-Mammal20042911	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1090540800000	1090540800000	1090540800000	2004	23	62.78	6.47																2004-07-23	IMR-Mammal20042911				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	7									IMR-Mammal20042911		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				-209.0	Odobenus rosmarus	137077		33.37	9.21			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2004	Odobenus rosmarus	[NO_DEPTH, ON_LAND]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	f57e84df-7dc9-4493-8e66-57c74c48bc7e				137077	[179, 180, 40021, 32353]							HumanObservation	181.4						IMR-Mammal20044644	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1089244800000	1089244800000	1089244800000	2004	8	66.5	13.0																2004-07-08	IMR-Mammal20044644				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	7									IMR-Mammal20044644		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				756.0	Odobenus rosmarus	137077		33.82	7.92			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2004	Odobenus rosmarus	[NO_DEPTH]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	f8edff02-f45e-4023-b19e-cc8215b1e820				137077	[179, 180, 40021, 32353]							HumanObservation	-3.0						IMR-Mammal20044719	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1092528000000	1092528000000	1092528000000	2004	15	66.67	13.03																2004-08-15	IMR-Mammal20044719				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	8									IMR-Mammal20044719		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				68.0	Odobenus rosmarus	137077		33.93	8.07			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2004	Odobenus rosmarus	[NO_DEPTH]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	8f76fcbe-9b57-4a0a-82c3-92c60d7f1d3f				137077	[179, 180, 40021, 32353]							HumanObservation	31.2						IMR-Mammal20054581	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1123459200000	1123459200000	1123459200000	2005	8	66.4	12.78																2005-08-08	IMR-Mammal20054581				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	8									IMR-Mammal20054581		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				142.0	Odobenus rosmarus	137077		33.84	7.97			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2005	Odobenus rosmarus	[NO_DEPTH]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	cf376005-be65-447a-896d-7307e34a5905				137077	[179, 180, 40021, 32353]							HumanObservation	20.2						IMR-Mammal20144648	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1390435200000	1390435200000	1390435200000	2014	23	66.5	12.01																2014-01-23	IMR-Mammal20144648				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	1									IMR-Mammal20144648		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				80.0	Odobenus rosmarus	137077		34.14	8.7			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2014	Odobenus rosmarus	[NO_DEPTH]	false	false
553e813b-993b-46f4-b42e-d3a5bf064572	305e6529-d45b-4379-9020-46c1d90cd671				137077	[70, 86]				"[{""crossref"":{""citeinfo"":{""origin"":""Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach"",""pubdate"":""2009"",""title"":""OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions"",""onlink"":""http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"",""serinfo"":{""sername"":""Oceanography"",""issue"":""22(2):104-115""}}}}]"			HumanObservation	-7.0			"[{""crossref"":{""citeinfo"":{""origin"":""Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach"",""pubdate"":""2009"",""title"":""OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions"",""onlink"":""http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"",""serinfo"":{""sername"":""Oceanography"",""issue"":""22(2):104-115""}}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			1406_36936	Mammalia	1837	1406			1e-05	1.11						1406	Observatoire Pelagis - Reseau National Echouage (French stranding network) strandings 1934-2020	2021-05-28	1622160000000	1622160000000	1622160000000	2021	28	46.15659	-1.17429																2021-05-28					Odobenidae	136975					POINT(-1.17429 46.15659)					Odobenus	137005	EPSG:4326							2021-05-28													Identification Type:Visual sighting											Pinnipedia	148736	Gnathostomata	1828		PELAGIS				Animalia	2							http://creativecommons.org/licenses/by-nc/4.0/								true							Tetrapoda	1831					2024-01-18 14:44:43	5							WoRMS LSID		1406_36936	Visual; shore	present	Carnivora	2687										PELAGIS									Chordata			1821				1406_36936			VU			PELAGIS					Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				-359.0	Odobenus rosmarus	137077	rosmarus	33.52	14.76			Theria	380416											Caniformia	254957	Vertebrata			146419																							Species	"Taxon recorded as ""Odobenus rosmarus"" by the provider"	valid			Event									2021-05-28 00:00:00								Walrus			Global,French EEZ		2021	Odobenus rosmarus	[NO_DEPTH, ON_LAND]	false	false
dd335e79-f580-44a1-bedc-1476437eb73e	b1c7b63b-1d22-4a23-872d-05dd822e4bd6				137077	[179, 180, 40021, 32353]							HumanObservation	23.4						IMR-Mammal20112866	Mammalia	1837											https://marineinfo.org/id/dataset/5728			1311206400000	1311206400000	1311206400000	2011	21	62.65	6.18																2011-07-21	IMR-Mammal20112866				Odobenidae	136975										Odobenus	137005																																Pinnipedia	148736	Gnathostomata	1828		IMR				Animalia	2															true							Tetrapoda	1831					2018-12-13 16:54:39	7									IMR-Mammal20112866		present	Carnivora	2687																			Chordata			1821							VU								Odobenus rosmarus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137077				441.0	Odobenus rosmarus	137077		33.32	9.21			Theria	380416											Caniformia	254957	Vertebrata			146419																																																		2011	Odobenus rosmarus	[NO_DEPTH]	false	false
